PersonID,Frame,X,Y,Zone
1,1,689,152,Zone B
2,1,183,168,Zone A
3,1,404,170,Zone A
4,1,1174,384,Zone B
5,1,199,540,Zone A
6,1,494,149,Zone A
1,2,689,152,Zone B
2,2,183,168,Zone A
3,2,404,171,Zone A
4,2,1174,384,Zone B
5,2,199,540,Zone A
6,2,494,149,Zone A
1,3,689,152,Zone B
2,3,183,168,Zone A
3,3,404,170,Zone A
4,3,1161,379,Zone B
5,3,199,540,Zone A
6,3,494,149,Zone A
1,4,689,152,Zone B
2,4,183,168,Zone A
3,4,404,170,Zone A
4,4,1157,378,Zone B
5,4,199,540,Zone A
6,4,494,149,Zone A
1,5,689,152,Zone B
2,5,183,168,Zone A
3,5,404,171,Zone A
4,5,1137,378,Zone B
5,5,199,540,Zone A
6,5,495,149,Zone A
1,6,689,152,Zone B
2,6,183,169,Zone A
3,6,402,170,Zone A
4,6,1131,377,Zone B
5,6,182,539,Zone A
6,6,494,149,Zone A
1,7,689,152,Zone B
2,7,183,169,Zone A
3,7,402,170,Zone A
4,7,1121,377,Zone B
5,7,174,539,Zone A
6,7,494,149,Zone A
1,8,689,152,Zone B
2,8,183,169,Zone A
3,8,403,170,Zone A
4,8,1118,377,Zone B
5,8,171,539,Zone A
6,8,494,149,Zone A
7,8,785,528,Zone B
1,9,689,152,Zone B
2,9,183,169,Zone A
3,9,403,170,Zone A
4,9,1117,378,Zone B
5,9,175,539,Zone A
6,9,494,149,Zone A
7,9,785,528,Zone B
1,10,689,152,Zone B
2,10,183,169,Zone A
3,10,404,171,Zone A
4,10,1103,378,Zone B
5,10,173,539,Zone A
6,10,494,149,Zone A
1,11,689,152,Zone B
2,11,183,169,Zone A
3,11,405,171,Zone A
4,11,1098,378,Zone B
5,11,174,539,Zone A
6,11,494,150,Zone A
7,11,787,528,Zone B
1,12,689,152,Zone B
2,12,183,169,Zone A
3,12,404,171,Zone A
4,12,1096,378,Zone B
5,12,187,540,Zone A
6,12,494,150,Zone A
1,13,689,152,Zone B
2,13,183,169,Zone A
3,13,405,171,Zone A
4,13,1095,378,Zone B
5,13,181,540,Zone A
1,14,689,152,Zone B
2,14,183,169,Zone A
3,14,405,171,Zone A
4,14,1095,379,Zone B
5,14,171,539,Zone A
6,14,494,149,Zone A
1,15,689,152,Zone B
2,15,183,169,Zone A
3,15,405,171,Zone A
4,15,1096,379,Zone B
5,15,166,539,Zone A
6,15,494,149,Zone A
1,16,689,152,Zone B
2,16,183,169,Zone A
3,16,404,171,Zone A
4,16,1096,380,Zone B
5,16,165,539,Zone A
6,16,494,149,Zone A
7,16,785,532,Zone B
1,17,689,152,Zone B
2,17,183,169,Zone A
3,17,404,171,Zone A
4,17,1097,381,Zone B
5,17,163,539,Zone A
6,17,494,149,Zone A
1,18,689,152,Zone B
2,18,184,169,Zone A
3,18,404,171,Zone A
4,18,1098,381,Zone B
5,18,162,539,Zone A
6,18,494,149,Zone A
7,18,785,533,Zone B
1,19,689,152,Zone B
2,19,184,169,Zone A
3,19,404,171,Zone A
4,19,1098,381,Zone B
5,19,162,539,Zone A
6,19,494,149,Zone A
7,19,785,533,Zone B
1,20,689,152,Zone B
2,20,184,169,Zone A
3,20,404,171,Zone A
4,20,1094,381,Zone B
5,20,162,539,Zone A
6,20,494,149,Zone A
1,21,689,152,Zone B
2,21,184,169,Zone A
3,21,404,171,Zone A
4,21,1092,381,Zone B
5,21,161,539,Zone A
6,21,494,149,Zone A
1,22,689,152,Zone B
2,22,183,170,Zone A
3,22,405,171,Zone A
4,22,1092,381,Zone B
5,22,161,539,Zone A
6,22,494,149,Zone A
1,23,689,152,Zone B
2,23,183,171,Zone A
3,23,405,171,Zone A
4,23,1091,381,Zone B
5,23,161,539,Zone A
6,23,494,149,Zone A
7,23,780,531,Zone B
1,24,690,152,Zone B
2,24,183,171,Zone A
3,24,405,171,Zone A
4,24,1090,382,Zone B
5,24,161,539,Zone A
6,24,494,149,Zone A
7,24,805,532,Zone B
1,25,690,152,Zone B
2,25,183,171,Zone A
3,25,405,171,Zone A
4,25,1090,382,Zone B
5,25,162,539,Zone A
6,25,494,149,Zone A
1,26,690,152,Zone B
2,26,182,171,Zone A
3,26,405,171,Zone A
4,26,1091,382,Zone B
5,26,161,539,Zone A
6,26,494,149,Zone A
7,26,774,523,Zone B
1,27,690,152,Zone B
2,27,182,171,Zone A
3,27,405,171,Zone A
4,27,1092,382,Zone B
5,27,161,539,Zone A
6,27,495,149,Zone A
7,27,768,520,Zone B
1,28,690,152,Zone B
2,28,183,170,Zone A
3,28,404,171,Zone A
4,28,1094,382,Zone B
5,28,161,539,Zone A
6,28,494,149,Zone A
7,28,766,521,Zone B
1,29,690,152,Zone B
2,29,183,169,Zone A
3,29,403,171,Zone A
4,29,1094,382,Zone B
